Em0tion,Word,Num
good,冷静,1
good,好吃,6
good,完美,1
good,认真,1
good,入味,1
good,丰富,1
good,一定,1
good,快速,1
good,献身,1
good,均匀,3
good,帮助,1
good,无比,1
good,鲜美,1
happy,起来,1
good,一定,1
disgust,麻烦,1
good,均匀,1
happy,成功,1
happy,好玩,1
good,认真,1
good,适口,1
good,一定,1
good,光滑,1
good,精心,1
good,均匀,3
good,干净,1
good,灵性,1
good,重要,1
sad,后悔,1
good,独特,1
good,鲜红,1
good,入味,1
disgust,搅和,1
good,宾客,1
good,健康,1
good,其实,1
good,好吃,4
disgust,偷偷,1
good,喜欢,1
good,上劲,2
good,均匀,3
good,干净,1
good,实在,1
good,浓郁,1
disgust,过度,1
good,相信,1
disgust,疑问,1
happy,起来,1
good,能耐,1
good,一定,1
good,干净,3
good,健康,1
happy,起来,1
good,一定,1
disgust,忽悠,1
disgust,捣乱,1
good,讲究,1
good,干净,2
good,最好,1
good,实在,1
good,喜欢,1
good,入味,1
good,一定,1
good,均匀,1
anger,变色,1
good,重要,1
good,丁香,1
good,一定,1
good,干净,1
good,最好,1
happy,精神,1
happy,起来,1
good,师傅,1
good,耐心,1
good,一定,1
good,新鲜,1
good,好吃,2
good,完美,1
good,重要,1
happy,起来,1
good,醇厚,1
good,入味,1
disgust,搅和,1
good,值得,1
good,好吃,2
good,完美,1
good,大方,1
happy,起来,1
good,饱满,1
good,丰富,1
good,均匀,3
good,重要,1
happy,起来,1
good,入味,2
good,新鲜,1
fear,重点,1
good,好吃,1
happy,起来,1
good,认真,1
good,丁香,1
good,喜欢,1
good,丰富,1
disgust,搅和,1
good,其实,1
good,好吃,1
good,大手笔,1
good,堪称一绝,1
happy,起来,1
good,耐心,1
good,均匀,2
disgust,偷偷,1
disgust,背后,1
fear,厉害,3
happy,起来,1
good,名不虚传,1
good,入味,1
good,均匀,1
good,好吃,2
good,重要,1
happy,起来,2
good,喜欢,1
disgust,麻烦,1
good,一定,1
good,下饭,2
good,干净,1
good,好吃,1
good,鲜嫩,1
good,一定,1
good,肯定,1
good,相信,1
good,师傅,1
good,上劲,1
good,均匀,4
good,干净,1
anger,变色,1
happy,起来,1
good,入味,2
good,师傅,1
good,均匀,1
good,最好,1
good,好吃,1
good,拿手,1
good,认真,1
good,入味,1
good,一定,1
good,新鲜,1
good,均匀,2
good,值得,1
good,其实,1
good,好吃,2
good,大礼,1
good,耐心,1
disgust,麻烦,3
good,一定,1
good,确实,1
good,均匀,1
good,朋友,1
good,好吃,1
happy,起来,3
good,均匀,2
good,干净,2
happy,起来,1
good,师傅,1
good,一定,3
good,确实,1
good,好吃,1
happy,起来,2
good,一定,1
good,均匀,3
good,最好,1
good,一举两得,1
surprise,奇怪,1
good,好吃,3
anger,上火,2
good,根本,1
good,一定,1
good,美味,1
good,讲究,1
happy,起来,1
good,入味,3
good,师傅,1
good,均匀,2
happy,舒服,2
good,好吃,2
good,无比,1
happy,起来,1
good,一定,1
good,快速,1
good,均匀,3
good,干净,4
fear,重点,1
sad,拜拜,2
happy,起来,4
good,师傅,1
disgust,生气,1
good,均匀,1
good,下饭,1
good,干净,1
good,其实,1
good,点缀,1
happy,起来,1
good,一流,1
good,入味,2
good,一定,1
disgust,不好,1
good,随机应变,1
good,均匀,2
good,不愧,1
good,点缀,1
good,鲜美,4
